order_id,customer_id,product_id,quantity,order_date
1,592,38,2,2025-07-01
2,3079,47,2,2024-04-20
3,7520,21,2,2024-06-30
4,7906,78,4,2024-01-16
5,8665,4,3,2025-02-10
6,4880,150,1,2025-08-08
7,4373,43,5,2025-08-25
8,2250,125,4,2025-07-21
9,5847,26,3,2024-02-07
10,2429,117,4,2024-04-20
11,5786,79,2,2024-09-06
12,1344,67,5,2025-03-22
13,4658,74,3,2023-12-15
14,6133,141,4,2025-07-21
15,5425,192,2,2025-10-05
16,8572,155,4,2024-05-20
17,8066,170,2,2024-10-22
18,9408,167,5,2025-04-12
19,6451,177,2,2024-06-20
20,5202,131,4,2025-06-06
21,8919,143,2,2024-07-22
22,6606,172,4,2023-11-30
23,9199,40,3,2024-08-14
24,3138,108,2,2025-04-20
25,5253,5,4,2025-07-07
26,8016,140,4,2025-02-11
27,9939,92,1,2024-07-14
28,4425,70,4,2024-04-27
29,6425,22,2,2025-08-08
30,9174,114,3,2024-11-12
31,4398,104,3,2024-03-03
32,6901,39,2,2024-06-08
33,392,6,3,2024-01-02
34,1800,28,2,2024-10-03
35,5336,12,3,2025-07-19
36,8096,17,1,2025-01-11
37,3217,24,4,2025-09-20
38,1301,46,3,2024-08-17
39,7130,64,3,2024-07-14
40,6844,14,4,2024-10-01
41,4561,195,1,2024-10-18
42,6227,172,2,2025-10-25
43,9359,77,3,2024-07-01
44,6924,54,4,2024-04-20
45,4804,118,3,2025-03-09
46,1848,120,3,2025-01-17
47,5144,111,1,2025-06-17
48,5458,78,5,2024-02-24
49,7096,82,3,2025-07-12
50,2554,67,3,2025-09-20
51,4421,134,3,2023-11-22
52,2684,49,4,2024-01-27
53,4242,199,4,2025-08-05
54,3117,151,5,2023-11-25
55,8908,130,3,2025-02-18
56,2989,198,3,2025-05-15
57,3853,114,5,2024-06-28
58,5021,126,2,2025-02-18
59,3369,189,1,2024-12-17
60,1022,197,3,2025-05-24
61,3995,171,2,2024-09-17
62,2868,131,2,2024-05-19
63,9540,92,5,2025-06-27
64,9023,59,3,2024-03-18
65,3052,158,1,2024-01-30
66,5244,87,4,2025-01-09
67,8292,109,1,2024-03-30
68,8173,4,4,2025-07-25
69,1186,156,5,2024-07-27
70,9184,91,5,2025-07-02
71,1860,41,4,2025-07-17
72,6440,19,4,2024-07-24
73,3731,166,4,2025-02-01
74,8937,70,3,2024-01-24
75,6195,57,3,2024-08-18
76,9131,111,1,2024-03-04
77,1544,185,2,2025-05-20
78,8157,166,2,2024-10-13
79,8175,74,5,2024-09-02
80,808,167,5,2025-08-29
81,7752,11,3,2024-09-26
82,65,177,2,2025-02-08
83,6935,182,2,2024-12-19
84,3492,168,4,2025-03-14
85,167,86,2,2025-07-14
86,7526,169,4,2024-03-19
87,5897,185,3,2025-10-20
88,8627,23,4,2025-06-20
89,8181,18,3,2024-02-15
90,8046,12,3,2025-06-17
91,8222,199,1,2024-11-19
92,2169,5,5,2023-12-10
93,8320,47,4,2024-10-15
94,6608,171,2,2024-05-11
95,2148,77,5,2024-03-21
96,688,95,5,2024-09-07
97,1238,108,2,2024-09-09
98,7755,21,4,2023-12-30
99,403,143,2,2024-09-20
100,5144,157,2,2024-02-03
101,1644,18,1,2024-10-19
102,4721,116,3,2024-12-03
103,8548,24,5,2023-12-01
104,9261,103,4,2024-06-15
105,6351,112,4,2024-06-27
106,141,118,4,2025-11-01
107,366,13,3,2024-11-04
108,417,81,3,2024-09-19
109,357,117,4,2024-01-27
110,7836,100,3,2025-08-03
111,4256,196,1,2025-02-27
112,2935,150,2,2024-05-18
113,1986,150,1,2024-10-23
114,1701,119,4,2024-06-10
115,3609,15,1,2024-03-09
116,372,128,1,2024-07-25
117,1632,40,4,2024-01-07
118,1329,81,5,2024-03-18
119,9038,186,5,2025-04-17
120,4654,139,5,2025-04-18
121,6948,107,4,2025-06-22
122,3584,67,1,2023-12-31
123,4895,121,1,2025-02-28
124,6504,61,5,2024-11-22
125,646,136,1,2024-07-28
126,7498,191,1,2024-04-10
127,5338,40,3,2025-06-03
128,1569,26,1,2024-04-17
129,832,111,5,2025-01-26
130,7821,14,5,2025-05-20
131,1192,187,1,2024-07-20
132,8465,91,5,2025-01-14
133,8911,123,3,2025-03-03
134,4705,40,1,2024-04-14
135,6216,147,1,2024-11-13
136,9942,45,4,2025-01-06
137,7166,91,1,2024-05-15
138,7315,79,1,2024-03-13
139,3156,68,1,2025-06-11
140,4051,184,5,2024-08-06
141,1547,167,3,2025-09-13
142,4259,130,5,2025-08-19
143,8321,108,5,2024-11-04
144,8044,175,1,2025-06-14
145,444,132,1,2024-09-19
146,6603,189,2,2025-07-15
147,2123,89,4,2024-03-14
148,7515,105,1,2024-01-04
149,3075,9,4,2024-10-27
150,2003,82,1,2024-07-31
151,9093,85,4,2025-04-12
152,1490,94,2,2024-10-26
153,1675,58,1,2023-12-11
154,3175,133,4,2025-05-30
155,6932,94,4,2023-12-14
156,1714,6,2,2025-02-21
157,8829,143,1,2025-09-08
158,5704,117,1,2024-02-24
159,9641,149,2,2024-08-28
160,4395,194,5,2025-04-06
161,3821,58,2,2025-10-28
162,9932,32,2,2025-05-15
163,3598,81,2,2025-04-14
164,2081,50,3,2024-07-28
165,4302,188,4,2024-03-13
166,683,115,2,2025-10-14
167,7427,36,4,2024-01-27
168,3177,71,5,2024-06-06
169,4532,64,4,2025-10-04
170,1266,32,5,2025-10-16
171,868,122,1,2023-11-26
172,5829,124,4,2025-08-17
173,3293,136,2,2025-08-15
174,412,57,1,2025-05-03
175,6353,141,2,2024-07-09
176,545,41,1,2024-09-16
177,1101,136,3,2025-03-02
178,5918,65,4,2025-01-05
179,5607,109,5,2024-05-22
180,9063,173,4,2024-01-11
181,4585,19,2,2024-02-10
182,8867,64,3,2025-01-04
183,6788,69,1,2025-06-03
184,7228,161,2,2024-04-18
185,1659,15,5,2025-06-08
186,8867,43,3,2025-03-24
187,4921,107,1,2024-03-13
188,4340,35,5,2025-07-13
189,9447,105,5,2025-01-06
190,1805,57,5,2024-07-22
191,2009,96,5,2024-03-07
192,2539,15,5,2024-10-29
193,481,183,2,2025-08-25
194,6812,179,4,2025-01-04
195,3970,158,3,2024-05-31
196,1364,165,2,2024-05-27
197,7466,50,1,2024-02-14
198,7308,94,4,2024-07-08
199,5163,29,3,2025-09-30
200,3105,11,2,2023-11-11
201,1991,111,5,2024-02-02
202,5086,135,1,2025-10-31
203,4011,116,1,2024-06-12
204,9851,11,5,2025-10-11
205,322,46,1,2025-06-18
206,2429,3,1,2023-12-30
207,587,25,5,2025-06-09
208,335,115,3,2025-02-19
209,603,200,1,2025-05-18
210,9164,103,3,2024-09-30
211,5409,197,3,2025-08-19
212,6492,63,3,2024-01-04
213,8234,47,1,2024-02-26
214,8711,60,4,2024-08-20
215,1162,16,4,2023-12-07
216,6844,181,3,2024-12-16
217,5185,87,2,2024-11-19
218,6881,192,4,2024-03-11
219,2138,42,4,2025-04-27
220,7474,6,4,2024-02-29
221,9730,193,2,2024-12-30
222,9549,35,2,2025-06-21
223,309,161,1,2024-04-03
224,4233,129,3,2025-03-20
225,161,42,4,2024-09-14
226,9418,163,1,2024-02-05
227,3172,31,1,2024-04-21
228,5542,48,4,2024-09-16
229,9516,104,4,2024-10-27
230,9272,88,4,2024-12-13
231,6525,152,3,2024-09-06
232,3761,96,1,2024-11-01
233,1146,141,1,2024-02-12
234,3683,152,5,2025-08-22
235,2096,129,3,2025-06-14
236,5498,153,3,2025-02-08
237,9584,140,5,2025-05-06
238,170,101,4,2024-08-20
239,3430,73,3,2024-08-19
240,1418,113,3,2025-01-06
241,8523,57,1,2024-11-24
242,8891,136,3,2024-11-14
243,2186,34,3,2024-06-21
244,1186,47,3,2025-03-20
245,2534,103,3,2023-11-05
246,4560,44,3,2025-08-12
247,9288,35,3,2024-10-18
248,5662,179,2,2025-10-12
249,8903,103,2,2024-12-01
250,6584,44,1,2025-08-29
251,5885,29,4,2025-06-12
252,1954,93,2,2025-04-25
253,4053,193,5,2024-01-16
254,1645,178,1,2025-08-26
255,2912,109,3,2024-09-24
256,3783,47,4,2025-08-09
257,2770,101,4,2024-10-03
258,3055,60,1,2023-12-04
259,5317,109,1,2025-04-04
260,8024,62,5,2024-07-16
261,635,125,2,2025-06-16
262,6031,47,4,2025-01-08
263,1589,49,4,2025-06-23
264,8422,200,2,2025-09-29
265,4636,20,4,2025-05-01
266,9140,14,2,2025-03-20
267,1140,6,3,2025-05-09
268,3959,103,1,2024-02-28
269,8923,129,2,2023-11-29
270,306,129,1,2024-08-30
271,3908,101,1,2025-01-25
272,6203,107,2,2024-03-07
273,7324,131,5,2024-03-20
274,431,33,2,2024-10-30
275,6011,158,4,2025-09-29
276,3079,70,3,2024-04-02
277,9180,136,5,2025-08-24
278,5237,198,3,2024-01-19
279,8155,20,4,2025-06-13
280,3751,7,1,2025-09-21
281,8295,11,4,2024-10-05
282,6726,59,3,2024-05-20
283,696,111,3,2024-07-18
284,2089,52,4,2025-05-09
285,739,19,2,2025-03-01
286,4130,34,2,2025-05-11
287,6987,29,5,2024-07-22
288,628,23,4,2024-08-14
289,9792,39,4,2025-02-12
290,6065,42,3,2024-10-11
291,9733,88,5,2025-04-16
292,3342,138,1,2025-01-20
293,5374,188,5,2024-03-25
294,6584,48,3,2025-04-06
295,4569,111,3,2024-09-21
296,1037,66,5,2025-07-30
297,45,174,3,2023-12-14
298,9199,123,4,2024-02-21
299,1153,53,5,2025-01-22
300,6548,50,5,2023-11-08
301,854,62,3,2024-06-17
302,5632,36,3,2024-04-21
303,3712,181,2,2025-04-21
304,1997,26,3,2024-05-05
305,1798,131,5,2024-08-18
306,8826,12,2,2025-09-29
307,2981,195,5,2025-04-18
308,7683,29,2,2025-02-16
309,7343,83,1,2025-01-01
310,7675,95,4,2023-11-30
311,6837,83,5,2024-03-11
312,9477,106,3,2024-10-16
313,6019,61,1,2025-01-21
314,1259,58,3,2025-05-05
315,1237,57,1,2024-06-10
316,6468,167,1,2025-09-15
317,1680,194,1,2024-10-04
318,3431,34,1,2024-05-28
319,1004,26,3,2025-01-29
320,1954,99,2,2024-07-22
321,8521,32,5,2024-06-19
322,7889,5,1,2024-05-11
323,3174,68,4,2024-03-04
324,213,34,4,2024-04-20
325,7891,113,5,2024-09-10
326,7605,49,2,2024-08-08
327,7482,142,5,2024-08-03
328,8739,48,4,2024-08-30
329,6593,174,3,2024-10-03
330,5959,187,2,2023-12-23
331,369,197,5,2024-01-26
332,5520,145,4,2025-02-24
333,458,200,4,2023-11-09
334,193,2,2,2024-08-22
335,2566,64,1,2024-07-31
336,7271,36,1,2024-04-27
337,4590,84,5,2024-09-02
338,1058,100,3,2024-12-21
339,508,53,5,2024-10-08
340,3068,6,5,2024-12-26
341,2448,158,4,2024-04-08
342,4813,118,4,2024-05-19
343,8300,126,3,2024-07-10
344,6021,27,2,2024-06-16
345,6785,78,5,2024-08-28
346,8005,140,4,2023-12-29
347,6872,45,4,2024-06-03
348,9332,192,1,2024-06-21
349,7747,199,2,2025-02-23
350,7111,28,2,2025-03-05
351,8030,149,2,2024-03-31
352,3815,36,5,2024-12-31
353,3858,1,1,2024-02-03
354,4828,172,4,2024-09-12
355,3985,15,4,2025-01-13
356,9492,112,3,2025-10-27
357,6240,138,2,2025-03-22
358,8104,106,4,2024-11-06
359,2691,97,4,2024-03-15
360,3474,19,2,2024-05-15
361,9550,100,3,2024-07-04
362,202,65,1,2024-03-27
363,8958,18,4,2024-04-16
364,3585,26,4,2025-06-19
365,9842,122,3,2025-02-25
366,6158,71,3,2025-02-01
367,5055,196,1,2024-12-22
368,6728,166,3,2024-05-26
369,9442,64,5,2025-03-27
370,9288,77,5,2025-08-25
371,855,63,4,2025-06-09
372,2562,8,1,2025-01-19
373,9278,96,1,2025-01-26
374,1328,30,2,2024-07-27
375,4850,98,5,2024-11-13
376,2978,186,1,2025-02-14
377,976,134,4,2024-09-22
378,999,189,3,2025-01-10
379,4837,151,3,2025-06-25
380,2467,188,4,2025-05-31
381,3827,85,1,2025-06-25
382,6482,155,2,2025-07-16
383,7779,23,2,2024-03-02
384,979,109,3,2025-05-16
385,1528,75,1,2025-05-17
386,9541,127,4,2024-04-27
387,6863,172,5,2025-05-16
388,2874,101,5,2025-06-04
389,2127,10,5,2024-03-03
390,6654,106,4,2024-09-02
391,4881,34,4,2024-05-05
392,2453,167,1,2024-02-01
393,1166,165,2,2024-06-13
394,495,131,1,2025-01-14
395,5721,27,1,2024-11-14
396,9335,118,1,2025-10-23
397,408,75,2,2024-11-16
398,5806,186,4,2025-09-14
399,5259,158,5,2025-08-28
400,4435,18,1,2025-01-05
401,4236,89,3,2025-07-22
402,3698,197,2,2025-01-30
403,1602,88,5,2025-02-06
404,1823,145,4,2025-01-23
405,3276,124,1,2024-04-09
406,1298,134,1,2024-09-17
407,6173,19,1,2025-07-25
408,4748,96,1,2024-06-19
409,3412,75,1,2024-05-21
410,2434,29,1,2025-04-15
411,3065,67,5,2025-08-15
412,7059,71,2,2024-10-16
413,7733,130,1,2024-11-21
414,2719,166,3,2024-12-22
415,4552,59,4,2024-03-18
416,6889,163,1,2023-12-29
417,7375,133,4,2025-10-20
418,9047,91,2,2025-07-19
419,3853,181,5,2024-12-02
420,2995,128,5,2023-11-22
421,3759,130,3,2024-05-16
422,6655,165,5,2024-05-31
423,8588,155,2,2025-06-15
424,16,20,4,2024-08-19
425,6170,18,4,2024-10-15
426,9970,111,2,2024-07-07
427,2394,124,1,2025-07-24
428,9342,98,4,2023-11-06
429,4379,78,2,2023-12-28
430,7030,162,3,2025-04-05
431,6042,28,1,2025-04-13
432,5540,20,1,2023-11-30
433,467,118,4,2024-03-10
434,9266,63,3,2025-04-16
435,9479,120,5,2024-01-01
436,4466,110,5,2025-03-31
437,2151,187,1,2025-03-25
438,9449,21,5,2024-11-23
439,5825,10,2,2024-02-11
440,6405,174,5,2024-02-03
441,125,192,5,2025-09-09
442,8017,27,1,2024-01-10
443,5449,105,2,2024-10-06
444,809,153,2,2024-05-24
445,3488,148,5,2025-08-22
446,4093,159,1,2024-10-21
447,5652,138,5,2024-06-24
448,5182,81,1,2024-09-20
449,3407,163,2,2025-09-30
450,5223,79,1,2024-08-06
451,6071,81,1,2024-02-24
452,2698,167,3,2025-01-02
453,3648,19,5,2023-12-20
454,5766,48,1,2025-10-03
455,286,22,5,2024-10-03
456,816,47,1,2025-03-27
457,3549,67,4,2024-06-28
458,3945,36,5,2025-04-08
459,829,69,1,2024-01-21
460,6799,197,4,2025-02-20
461,2566,149,3,2025-08-06
462,163,59,5,2025-04-06
463,6907,53,1,2025-04-08
464,7172,115,5,2025-05-13
465,8345,25,5,2023-11-28
466,9050,105,1,2025-09-03
467,7474,161,3,2024-04-11
468,8826,30,4,2024-12-17
469,4107,68,5,2024-05-04
470,2007,67,1,2024-10-10
471,7382,144,2,2025-01-03
472,80,22,5,2023-12-19
473,6879,164,2,2025-06-17
474,1137,189,4,2024-02-16
475,624,35,5,2025-07-09
476,8660,189,4,2024-07-18
477,8958,190,2,2025-07-08
478,4620,142,4,2025-01-28
479,7266,197,2,2024-04-26
480,2671,197,4,2025-02-17
481,9388,181,1,2024-07-12
